age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,age_x_age,age_x_fnlwgt,age_x_education_num,age_x_capital_gain,age_x_capital_loss,age_x_hours_per_week,fnlwgt_x_fnlwgt,fnlwgt_x_education_num,fnlwgt_x_capital_gain,fnlwgt_x_capital_loss,fnlwgt_x_hours_per_week,education_num_x_education_num,education_num_x_capital_gain,education_num_x_capital_loss,education_num_x_hours_per_week,capital_gain_x_capital_gain,capital_gain_x_capital_loss,capital_gain_x_hours_per_week,capital_loss_x_capital_loss,capital_loss_x_hours_per_week,hours_per_week_x_hours_per_week,marital_status_statistics,male,female
46,Private,250821,Prof-school,15,Divorced,Farming-fishing,Unmarried,White,Male,0,0,48,United-States,<=50K,2116,11537766,690,0,0,2208,-1513335399,3762315,0,0,12039408,225,0,0,720,0,0,0,0,0,2304,Divorced,10.82,15.09
50,Self-emp-not-inc,99894,5th-6th,3,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,15,United-States,<=50K,2500,4994700,150,0,0,750,1388876644,299682,0,0,1498410,9,0,0,45,0,0,0,0,0,225,Never-married,47.35,41.81
31,Private,308540,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,961,9564740,310,0,0,1240,707651088,3085400,0,0,12341600,100,0,0,400,0,0,0,0,0,1600,,,
41,State-gov,116520,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1681,4777320,656,0,0,1640,692008512,1864320,0,0,4660800,256,0,0,640,0,0,0,0,0,1600,,,
35,Private,320451,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,65,Hong,>50K,1225,11215785,490,0,0,2275,-390371703,4486314,0,0,20829315,196,0,0,910,0,0,0,0,0,4225,,,
43,Private,64631,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,1849,2779133,387,0,0,1720,-117801135,581679,0,0,2585240,81,0,0,360,0,0,0,0,0,1600,,,
33,Private,347623,Masters,14,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<=50K,1089,11471559,462,0,0,1320,582665841,4866722,0,0,13904920,196,0,0,560,0,0,0,0,0,1600,Never-married,47.35,41.81
33,Private,220362,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,84,United-States,>50K,1089,7271946,363,0,0,2772,1314770788,2423982,0,0,18510408,121,0,0,924,0,0,0,0,0,7056,,,
33,Private,170769,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,1089,5635377,297,0,0,1320,-902719711,1536921,0,0,6830760,81,0,0,360,0,0,0,0,0,1600,,,
38,Private,210438,7th-8th,4,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,1444,7996644,152,0,0,1520,1334478884,841752,0,0,8417520,16,0,0,160,0,0,0,0,0,1600,Divorced,10.82,15.09
32,Private,207937,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,1024,6653984,320,0,0,1280,288123009,2079370,0,0,8317480,100,0,0,400,0,0,0,0,0,1600,Never-married,47.35,41.81
45,Self-emp-not-inc,275445,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,United-States,<=50K,2025,12395025,585,0,0,2250,-1439463303,3580785,0,0,13772250,169,0,0,650,0,0,0,0,0,2500,Divorced,10.82,15.09
